,generation,avg_profit,avg_drawdown,num_trades,best
165,166,-10309.547783682128,28.196838317455075,-319.64,-64045.27248519695
166,167,-9759.10434869701,27.925522311749308,-327.27,-64045.27248519695
167,168,-9776.41737180279,27.938105915476896,-326.06,-64045.27248519695
168,169,-10075.556718588727,27.739339947893413,-318.89,-64045.27248519695
169,170,-9883.889601227576,27.864462101128783,-333.77,-64045.27248519695
170,171,-9866.706109741403,27.77472835297671,-330.78,-64045.27248519695
171,172,-9093.68390702902,27.717062669369565,-344.11,-64045.27248519695
172,173,-8345.362250041966,27.31152139936879,-341.87,-64045.27248519695
173,174,-10148.67142276241,27.554042099466777,-329.99,-64045.27248519695
174,175,-10596.680288567217,26.851954843943407,-322.88,-64045.27248519695
175,176,-11668.39642061246,26.339895862299823,-307.55,-64045.27248519695
176,177,-11472.515385684113,26.679821627299773,-322.39,-64045.27248519695
177,178,-11548.93826047228,26.463405366334246,-330.46,-64045.27248519695
178,179,-11909.263242186571,26.98831416799053,-344.57,-64045.27248519695
179,180,-12101.66127684624,27.584243753940967,-357.41,-64045.27248519695
180,181,-12265.610577342872,28.870453095144867,-380.3,-64045.27248519695
181,182,-11692.392627843123,29.20985169201013,-392.59,-64045.27248519695
182,183,-11722.706608924109,29.108922286523807,-391.49,-64045.27248519695
183,184,-12660.478982998375,29.71182948806263,-412.48,-64045.27248519695
184,185,-12338.17619483364,29.449087510476797,-415.29,-64045.27248519695
185,186,-12208.382702298819,28.4548037626932,-380.73,-64045.27248519695
186,187,-12520.10169712779,28.861483179355123,-388.56,-64045.27248519695
187,188,-12227.59001016044,28.634804326360605,-398.08,-64045.27248519695
188,189,-11828.640466223262,28.661692223694285,-404.8,-64045.27248519695
189,190,-12183.319000080843,29.167885676049423,-414.93,-64045.27248519695
190,191,-12510.696935920876,28.51151095919711,-386.73,-64045.27248519695
191,192,-12608.958135534343,28.30766402309976,-373.43,-64045.27248519695
192,193,-13475.301009134979,28.486733676003986,-371.38,-64045.27248519695
193,194,-13314.04434378831,28.442244059321308,-381.14,-64045.27248519695
194,195,-13526.156179589832,28.151440926163477,-379.65,-64045.27248519695
195,196,-13198.844394763057,28.016723338637156,-385.28,-64045.27248519695
196,197,-13258.587580785868,28.096599411700566,-383.1,-64045.27248519695
197,198,-14104.176225703493,28.245144342156983,-383.26,-64045.27248519695
198,199,-13469.34961362642,27.746308127999374,-384.75,-64045.27248519695
199,200,-13179.30521424954,27.929034632491238,-401.59,-64045.27248519695
